observer_count = 6, target_count = 9, radius = 5, iteration = 10, score = 0.132667
observer_count = 6, target_count = 15, radius = 5, iteration = 10, score = 0.438
observer_count = 6, target_count = 21, radius = 5, iteration = 10, score = 0.369333
observer_count = 6, target_count = 27, radius = 5, iteration = 10, score = 0.595334
observer_count = 10, target_count = 3, radius = 5, iteration = 10, score = 0.0906667
observer_count = 10, target_count = 6, radius = 5, iteration = 10, score = 0.0786666
observer_count = 10, target_count = 9, radius = 5, iteration = 10, score = 0.478
observer_count = 10, target_count = 15, radius = 5, iteration = 10, score = 0.420667
observer_count = 10, target_count = 21, radius = 5, iteration = 10, score = 0.660667
observer_count = 10, target_count = 27, radius = 5, iteration = 10, score = 0.500667
observer_count = 14, target_count = 3, radius = 5, iteration = 10, score = 0.101333
observer_count = 14, target_count = 6, radius = 5, iteration = 10, score = 0.146667
observer_count = 14, target_count = 9, radius = 5, iteration = 10, score = 0.22
observer_count = 14, target_count = 15, radius = 5, iteration = 10, score = 0.836
observer_count = 14, target_count = 21, radius = 5, iteration = 10, score = 0.594667
observer_count = 14, target_count = 27, radius = 5, iteration = 10, score = 0.896667
observer_count = 18, target_count = 3, radius = 5, iteration = 10, score = 0.018
observer_count = 18, target_count = 6, radius = 5, iteration = 10, score = 0.421333
observer_count = 18, target_count = 9, radius = 5, iteration = 10, score = 0.837333
observer_count = 18, target_count = 15, radius = 5, iteration = 10, score = 1.25333
observer_count = 18, target_count = 21, radius = 5, iteration = 10, score = 1.26667
observer_count = 18, target_count = 27, radius = 5, iteration = 10, score = 1.24333
observer_count = 2, target_count = 3, radius = 5, iteration = 11, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 11, score = 0.00666666
observer_count = 2, target_count = 9, radius = 5, iteration = 11, score = 0
observer_count = 2, target_count = 15, radius = 5, iteration = 11, score = 0.00133333
observer_count = 2, target_count = 21, radius = 5, iteration = 11, score = 0.00333333
observer_count = 2, target_count = 27, radius = 5, iteration = 11, score = 0.0306667
observer_count = 6, target_count = 3, radius = 5, iteration = 11, score = 0.197333
observer_count = 6, target_count = 6, radius = 5, iteration = 11, score = 0.088
observer_count = 6, target_count = 9, radius = 5, iteration = 11, score = 0.172667
observer_count = 6, target_count = 15, radius = 5, iteration = 11, score = 0.401333
observer_count = 6, target_count = 21, radius = 5, iteration = 11, score = 0.194667
observer_count = 6, target_count = 27, radius = 5, iteration = 11, score = 0.786
observer_count = 10, target_count = 3, radius = 5, iteration = 11, score = 0
observer_count = 10, target_count = 6, radius = 5, iteration = 11, score = 0.481333
observer_count = 10, target_count = 9, radius = 5, iteration = 11, score = 0.335333
observer_count = 10, target_count = 15, radius = 5, iteration = 11, score = 0.24
observer_count = 10, target_count = 21, radius = 5, iteration = 11, score = 0.727334
observer_count = 10, target_count = 27, radius = 5, iteration = 11, score = 1.07
observer_count = 14, target_count = 3, radius = 5, iteration = 11, score = 0.134667
observer_count = 14, target_count = 6, radius = 5, iteration = 11, score = 0.157334
observer_count = 14, target_count = 9, radius = 5, iteration = 11, score = 0.184667
observer_count = 14, target_count = 15, radius = 5, iteration = 11, score = 0.436667
observer_count = 14, target_count = 21, radius = 5, iteration = 11, score = 0.841333
observer_count = 14, target_count = 27, radius = 5, iteration = 11, score = 0.936667
observer_count = 18, target_count = 3, radius = 5, iteration = 11, score = 0.272
observer_count = 18, target_count = 6, radius = 5, iteration = 11, score = 0.480667
observer_count = 18, target_count = 9, radius = 5, iteration = 11, score = 0.782667
observer_count = 18, target_count = 15, radius = 5, iteration = 11, score = 0.808001
observer_count = 18, target_count = 21, radius = 5, iteration = 11, score = 0.635999
observer_count = 18, target_count = 27, radius = 5, iteration = 11, score = 1.788
observer_count = 2, target_count = 3, radius = 5, iteration = 12, score = 0
observer_count = 2, target_count = 6, radius = 5, iteration = 12, score = 0.0713333
observer_count = 2, target_count = 9, radius = 5, iteration = 12, score = 0
observer_count = 2, target_count = 15, radius = 5, iteration = 12, score = 0.004
observer_count = 2, target_count = 21, radius = 5, iteration = 12, score = 0.0626667
observer_count = 2, target_count = 27, radius = 5, iteration = 12, score = 0.232666
observer_count = 6, target_count = 3, radius = 5, iteration = 12, score = 0
observer_count = 6, target_count = 6, radius = 5, iteration = 12, score = 0.0533333
observer_count = 6, target_count = 9, radius = 5, iteration = 12, score = 0.054
observer_count = 6, target_count = 15, radius = 5, iteration = 12, score = 0.345333
observer_count = 6, target_count = 21, radius = 5, iteration = 12, score = 0.352667
observer_count = 6, target_count = 27, radius = 5, iteration = 12, score = 0.412
observer_count = 10, target_count = 3, radius = 5, iteration = 12, score = 0.0966666
observer_count = 10, target_count = 6, radius = 5, iteration = 12, score = 0.062
observer_count = 10, target_count = 9, radius = 5, iteration = 12, score = 0.247333
observer_count = 10, target_count = 15, radius = 5, iteration = 12, score = 0.531333
observer_count = 10, target_count = 21, radius = 5, iteration = 12, score = 1.11867
observer_count = 10, target_count = 27, radius = 5, iteration = 12, score = 1.42867
observer_count = 14, target_count = 3, radius = 5, iteration = 12, score = 0.124667
observer_count = 14, target_count = 6, radius = 5, iteration = 12, score = 0.401334
observer_count = 14, target_count = 9, radius = 5, iteration = 12, score = 0.511333
observer_count = 14, target_count = 15, radius = 5, iteration = 12, score = 0.334
observer_count = 14, target_count = 21, radius = 5, iteration = 12, score = 1.09333
observer_count = 14, target_count = 27, radius = 5, iteration = 12, score = 0.778666
